,Order,Suborder,Family,Subfamily,Genus,Species,Genus_Species,Activity_Period,Adult_Habitat,Development,Life_History,Larval_Habitat
129,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,italicus,Lissotriton_italicus,both,semiaquatic,metamorphosizing,free-living,lentic water
130,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,montandoni,Lissotriton_montandoni,both,semiaquatic,metamorphosizing,free-living,both
131,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Lissotriton,vulgaris,Lissotriton_vulgaris,both,semiaquatic,metamorphosizing,free-living,lentic water
132,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Lyciasalamandra,luschani,Lyciasalamandra_luschani,nocturnal,terrestrial,direct development,no free-living,no larva
133,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Mertensiella,caucasica,Mertensiella_caucasica,nocturnal,terrestrial,metamorphosizing,free-living,lotic water
134,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,crocatus,Neurergus_crocatus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
135,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Neurergus,strauchii,Neurergus_strauchii,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water
136,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Notophthalmus,viridescens,Notophthalmus_viridescens,both,semiaquatic,metamorphosizing,free-living,lentic water
137,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Ommatotriton,vittatus,Ommatotriton_vittatus,NA,semiaquatic,metamorphosizing,free-living,lentic water
138,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pachytriton,brevipes,Pachytriton_brevipes,nocturnal,aquatic,metamorphosizing,free-living,lotic water
139,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,deloustali,Paramesotriton_deloustali,NA,aquatic,metamorphosizing,free-living,both
140,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Paramesotriton,hongkongensis,Paramesotriton_hongkongensis,nocturnal,terrestrial,metamorphosizing,free-living,both
141,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,poireti,Pleurodeles_poireti,NA,semiaquatic,metamorphosizing,free-living,lentic water
142,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl,Pleurodeles_waltl,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
143,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Pleurodeles,waltl_gilled,Pleurodeles_waltl_gilled,nocturnal,aquatic,paedomorphic,free-living,lentic water
144,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,atra,Salamandra_atra,nocturnal,terrestrial,direct development,no free-living,no larva
145,Caudata,Salamandroidea,Salamandridae,Salamandrinae,Salamandra,salamandra,Salamandra_salamandra,both,terrestrial,metamorphosizing,free-living,lentic water
146,Caudata,Salamandroidea,Salamandridae,Salamandrininae,Salamandrina,terdigitata,Salamandrina_terdigitata,nocturnal,terrestrial,metamorphosizing,free-living,lotic water
147,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,granulosa,Taricha_granulosa,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
148,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,rivularis,Taricha_rivularis,both,semiaquatic,metamorphosizing,free-living,lotic water
149,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Taricha,torosa,Taricha_torosa,diurnal,semiaquatic,metamorphosizing,free-living,lentic water
150,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,carnifex,Triturus_carnifex,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
151,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,cristatus,Triturus_cristatus,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
152,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Triturus,karelinii,Triturus_karelinii,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water
153,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,shanjing,Tylototriton_shanjing,both,semiaquatic,metamorphosizing,free-living,lentic water
154,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,taliangensis,Tylototriton_taliangensis,both,semiaquatic,metamorphosizing,free-living,lentic water
155,Caudata,Salamandroidea,Salamandridae,Pleurodelinae,Tylototriton,verrucosus,Tylototriton_verrucosus,both,semiaquatic,metamorphosizing,free-living,lentic water
156,Caudata,Sirenidea,Sirenidae,NA,Pseudobranchus,striatus,Pseudobranchus_striatus,nocturnal,aquatic,paedomorphic,free-living,lentic water
157,Caudata,Sirenidea,Sirenidae,NA,Siren,intermedia,Siren_intermedia,nocturnal,aquatic,paedomorphic,free-living,lentic water
158,Caudata,Sirenidea,Sirenidae,NA,Siren,lacertina,Siren_lacertina,nocturnal,aquatic,paedomorphic,free-living,lentic water
